lluvia,geometry
64.0,"POLYGON ((-71.39809878181957 -34.70191942553712, -71.39809878181957 -34.746835189743095, -71.3531830176136 -34.746835189743095, -71.3531830176136 -34.70191942553712, -71.39809878181957 -34.70191942553712))"
61.0,"POLYGON ((-71.29928410056642 -34.68395311985473, -71.25436833636044 -34.68395311985473, -71.25436833636044 -34.70191942553712, -71.29928410056642 -34.70191942553712, -71.29928410056642 -34.746835189743095, -71.3531830176136 -34.746835189743095, -71.3531830176136 -34.70191942553712, -71.29928410056642 -34.70191942553712, -71.29928410056642 -34.68395311985473))"
64.0,"POLYGON ((-71.25436833636044 -34.68395311985473, -71.20046941931328 -34.68395311985473, -71.20046941931328 -34.70191942553712, -71.25436833636044 -34.70191942553712, -71.25436833636044 -34.746835189743095, -71.29928410056642 -34.746835189743095, -71.29928410056642 -34.70191942553712, -71.25436833636044 -34.70191942553712, -71.25436833636044 -34.68395311985473))"
67.0,"POLYGON ((-71.25436833636044 -34.70191942553712, -71.25436833636044 -34.746835189743095, -71.20046941931328 -34.746835189743095, -71.20046941931328 -34.70191942553712, -71.25436833636044 -34.70191942553712))"
70.0,"POLYGON ((-71.20046941931328 -34.70191942553712, -71.20046941931328 -34.746835189743095, -71.1465705022661 -34.746835189743095, -71.1465705022661 -34.70191942553712, -71.20046941931328 -34.70191942553712))"
77.0,"POLYGON ((-71.1465705022661 -34.70191942553712, -71.1465705022661 -34.746835189743095, -71.04775582101296 -34.746835189743095, -71.04775582101296 -34.70191942553712, -71.1465705022661 -34.70191942553712))"
73.0,"POLYGON ((-71.04775582101296 -34.70191942553712, -71.04775582101296 -34.746835189743095, -71.00284005680699 -34.746835189743095, -71.00284005680699 -34.70191942553712, -71.04775582101296 -34.70191942553712))"
73.0,"POLYGON ((-70.94894113975981 -34.70191942553712, -70.94894113975981 -34.746835189743095, -70.90402537555383 -34.746835189743095, -70.90402537555383 -34.70191942553712, -70.94894113975981 -34.70191942553712))"
74.0,"POLYGON ((-70.90402537555383 -34.70191942553712, -70.90402537555383 -34.746835189743095, -70.85012645850667 -34.746835189743095, -70.85012645850667 -34.70191942553712, -70.90402537555383 -34.70191942553712))"
80.0,"POLYGON ((-70.85012645850667 -34.70191942553712, -70.85012645850667 -34.746835189743095, -70.79622754145949 -34.746835189743095, -70.79622754145949 -34.800734106790266, -70.75131177725352 -34.800734106790266, -70.75131177725352 -34.746835189743095, -70.79622754145949 -34.746835189743095, -70.79622754145949 -34.70191942553712, -70.85012645850667 -34.70191942553712))"
79.0,"POLYGON ((-70.79622754145949 -34.70191942553712, -70.79622754145949 -34.746835189743095, -70.75131177725352 -34.746835189743095, -70.75131177725352 -34.70191942553712, -70.79622754145949 -34.70191942553712))"
81.0,"POLYGON ((-70.75131177725352 -34.70191942553712, -70.75131177725352 -34.746835189743095, -70.69741286020634 -34.746835189743095, -70.69741286020634 -34.70191942553712, -70.75131177725352 -34.70191942553712))"
89.0,"POLYGON ((-70.69741286020634 -34.70191942553712, -70.69741286020634 -34.746835189743095, -70.65249709600037 -34.746835189743095, -70.65249709600037 -34.70191942553712, -70.69741286020634 -34.70191942553712))"
93.0,"POLYGON ((-70.65249709600037 -34.70191942553712, -70.65249709600037 -34.746835189743095, -70.5985981789532 -34.746835189743095, -70.5985981789532 -34.70191942553712, -70.65249709600037 -34.70191942553712))"
102.0,"POLYGON ((-70.55368241474721 -34.70191942553712, -70.55368241474721 -34.800734106790266, -70.49978349770005 -34.800734106790266, -70.49978349770005 -34.70191942553712, -70.55368241474721 -34.70191942553712))"
107.0,"POLYGON ((-70.49978349770005 -34.70191942553712, -70.49978349770005 -34.746835189743095, -70.44588458065287 -34.746835189743095, -70.44588458065287 -34.70191942553712, -70.49978349770005 -34.70191942553712))"
105.0,"POLYGON ((-70.44588458065287 -34.70191942553712, -70.44588458065287 -34.746835189743095, -70.4009688164469 -34.746835189743095, -70.4009688164469 -34.70191942553712, -70.44588458065287 -34.70191942553712))"
